Year,Deficit,Total Spending,Total Revenue,Defense,Non-defense discretionary,Net interest,Social Security,Medicare,Medicaid,Income security,Federal civilian and military retirement,Veterans programs,Other programs,Offsetting receipts
2015,441.96,3691.85,3249.89,583.385,588.756,223.181,881.891,634.092,349.762,301.012,153.979,92.434,141.724,-258.366
2016,584.65,3852.615,3267.965,584.831,600.424,240.033,910.282,692.491,368.28,303.705,160.323,106.518,123.292,-237.564
2017,665.45,3981.634,3316.184,590.192,610.118,262.551,939.204,702.286,374.682,293.754,158.342,104.999,198.953,-253.447
2018,779.074,4108.981,3329.907,622.689,638.828,324.975,982.015,704.501,389.157,285.184,157.118,101.351,162.81,-259.647
2019,983.588,4446.952,3463.364,676.37,661.63,375.158,1038.489,775.37,409.421,302.517,166.654,115.022,202.305,-275.984
2020,3132.456,6553.62,3421.164,713.822,914.061,345.47,1089.889,912.116,458.468,1050.897,171.081,121.788,1053.851,-277.823
2021,2775.35,6822.461,4047.111,741.607,894.802,352.338,1128.827,867.676,520.588,1376.242,173.651,125.076,975.016,-333.362
2022,1375.86,6273.259,4897.399,752.128,912.422,475.887,1212.487,974.649,591.949,580.67,187.462,161.364,929.269,-505.028
2023,1693.725,6134.672,4440.947,806.191,911.941,658.267,1347.961,1015.87,615.772,448.1,197.131,170.414,307.624,-344.599
2024,1832.381,6750.485,4918.104,849.95,959.847,881.119,1454.424,1043.789,617.517,370.21,200.029,191.779,535.749,-353.928
