Year,Deficit,Total Spending,Total Revenue,Defense,Non-defense discretionary,Net interest,Social Security,Medicare,Medicaid,Income security,Federal civilian and military retirement,Veterans programs,Other programs,Offsetting receipts
1999,-1.325,17.953,19.278,2.906,3.129,2.424,4.082,2.207,1.14,1.361,0.848,0.261,0.433,-0.839
2000,-2.335,17.682,20.018,2.916,3.16,2.204,4.013,2.135,1.166,1.324,0.82,0.267,0.479,-0.802
2001,-1.218,17.698,18.916,2.908,3.258,1.959,4.079,2.26,1.229,1.36,0.829,0.222,0.443,-0.849
2002,1.457,18.57,17.113,3.222,3.555,1.579,4.175,2.343,1.362,1.665,0.838,0.257,0.408,-0.835
2003,3.348,19.15,15.802,3.59,3.718,1.357,4.171,2.431,1.425,1.739,0.826,0.282,0.506,-0.895
2004,3.431,19.062,15.631,3.775,3.666,1.332,4.086,2.469,1.465,1.585,0.81,0.265,0.514,-0.905
2005,2.479,19.252,16.773,3.844,3.699,1.433,4.04,2.61,1.415,1.533,0.803,0.314,0.563,-1.002
2006,1.82,19.47,17.65,3.813,3.642,1.662,3.989,2.763,1.325,1.467,0.798,0.281,0.789,-1.058
2007,1.123,19.075,17.951,3.83,3.451,1.657,4.065,3.049,1.333,1.42,0.803,0.268,0.443,-1.244
2008,3.099,20.157,17.058,4.139,3.531,1.708,4.137,3.082,1.361,1.762,0.813,0.301,0.577,-1.253
2009,9.765,24.315,14.55,4.539,4.015,1.292,4.685,3.456,1.734,2.421,0.898,0.343,2.278,-1.345
2010,8.696,23.226,14.53,4.628,4.423,1.318,4.708,3.497,1.833,2.938,0.888,0.391,-0.077,-1.32
2011,8.403,23.296,14.893,4.522,4.188,1.487,4.687,3.618,1.778,2.612,0.891,0.459,0.404,-1.35
2012,6.683,21.891,15.208,4.162,3.757,1.368,4.766,3.421,1.555,2.195,0.845,0.422,0.817,-1.417
2013,4.073,20.703,16.63,3.75,3.455,1.324,4.841,3.507,1.59,2.034,0.874,0.482,0.672,-1.826
2014,2.782,20.119,17.337,3.422,3.342,1.314,4.848,3.441,1.73,1.784,0.855,0.498,0.476,-1.591
2015,2.433,20.325,17.892,3.212,3.241,1.229,4.855,3.491,1.926,1.657,0.848,0.509,0.78,-1.422
2016,3.136,20.667,17.531,3.137,3.221,1.288,4.883,3.715,1.976,1.629,0.86,0.571,0.661,-1.274
2017,3.435,20.55,17.116,3.046,3.149,1.355,4.847,3.625,1.934,1.516,0.817,0.542,1.027,-1.308
2018,3.812,20.106,16.294,3.047,3.126,1.59,4.805,3.447,1.904,1.395,0.769,0.496,0.797,-1.271
2019,4.621,20.891,16.271,3.178,3.108,1.762,4.879,3.643,1.923,1.421,0.783,0.54,0.95,-1.297
2020,14.692,30.739,16.047,3.348,4.287,1.62,5.112,4.278,2.15,4.929,0.802,0.571,4.943,-1.303
2021,12.065,29.658,17.593,3.224,3.89,1.532,4.907,3.772,2.263,5.983,0.755,0.544,4.238,-1.449
2022,5.392,24.584,19.192,2.947,3.576,1.865,4.752,3.82,2.32,2.276,0.735,0.632,3.642,-1.979
2023,6.197,22.447,16.249,2.95,3.337,2.409,4.932,3.717,2.253,1.64,0.721,0.624,1.126,-1.261
2024,6.356,23.416,17.06,2.948,3.33,3.056,5.045,3.621,2.142,1.284,0.694,0.665,1.858,-1.228
